verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,25.998611,-108.343055,60.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.518889,-90.650555,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,15.075556,-92.225555,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,25.599167,-107.745555,50.0,1990
Anopheles (Anopheles) pseudopunctipennis,15.075,-92.225,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,15.081389,-92.316944,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,25.975,-100.408333,50.0,1990
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.097222,-90.970833,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.335,-90.764167,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,15.0775,-92.222222,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.120278,-91.155555,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.0875,-91.094444,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.1375,-91.148889,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,16.207222,-90.873889,100.0,1997
Anopheles (Anopheles) pseudopunctipennis,17.509167,-91.982222,90.0,1997
Anopheles (Anopheles) pseudopunctipennis,16.898889,-92.053611,90.0,1997
Anopheles (Anopheles) pseudopunctipennis,16.810556,-98.017778,100.0,1994
Anopheles (Anopheles) pseudopunctipennis,21.482778,-87.700555,70.0,1997
Anopheles (Anopheles) pseudopunctipennis,21.58,-88.162778,70.0,1996
Anopheles (Anopheles) pseudopunctipennis,21.140278,-98.42,80.0,1990
Anopheles (Anopheles) pseudopunctipennis,21.596111,-88.146389,70.0,1995
Anopheles (Anopheles) pseudopunctipennis,21.58,-88.162778,70.0,1995
Anopheles (Anopheles) pseudopunctipennis,21.482778,-87.700555,70.0,1996
Anopheles (Anopheles) pseudopunctipennis,25.657583,-100.272056,50.0,1995
Anopheles (Anopheles) pseudopunctipennis,25.252222,-100.035278,50.0,1990
Anopheles (Anopheles) pseudopunctipennis,25.252222,-100.035278,50.0,1987
Anopheles (Anopheles) pseudopunctipennis,25.242778,-99.955556,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,26.50575,-100.433967,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,24.765833,-99.265833,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,16.086389,-93.755,100.0,1990
Anopheles (Anopheles) pseudopunctipennis,25.926111,-99.184444,50.0,1992
Anopheles (Anopheles) pseudopunctipennis,25.784722,-100.050833,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.283333,-100.02,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,20.720278,-103.391944,80.0,1992
Anopheles (Anopheles) pseudopunctipennis,27.435278,-100.402778,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,26.49865,-100.194733,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,15.913889,-95.81,100.0,1996
Anopheles (Anopheles) pseudopunctipennis,25.882194,-100.287167,50.0,1994
Anopheles (Anopheles) pseudopunctipennis,25.700667,-100.297283,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.700667,-100.297283,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.598889,-100.158333,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.895278,-100.1075,50.0,1993
Anopheles (Anopheles) pseudopunctipennis,25.795639,-100.314917,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,23.713333,-99.244444,60.0,1993
Anopheles (Anopheles) pseudopunctipennis,24.948889,-99.264722,50.0,1994
Anopheles (Anopheles) pseudopunctipennis,24.859722,-99.566667,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.3675,-100.435278,50.0,1993
Anopheles (Anopheles) pseudopunctipennis,25.3675,-100.435278,50.0,1992
Anopheles (Anopheles) pseudopunctipennis,25.465278,-100.214444,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.465278,-100.214444,50.0,1990
Anopheles (Anopheles) pseudopunctipennis,25.855611,-100.244139,50.0,1987
Anopheles (Anopheles) pseudopunctipennis,25.855611,-100.244139,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.801083,-100.295167,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.869806,-100.289139,50.0,1994
Anopheles (Anopheles) pseudopunctipennis,23.805278,-99.293889,60.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.464528,-100.278583,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.561883,-100.123433,50.0,1992
Anopheles (Anopheles) pseudopunctipennis,18.856944,-103.962222,90.0,1996
Anopheles (Anopheles) pseudopunctipennis,25.785133,-100.2921,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.785133,-100.2921,50.0,1994
Anopheles (Anopheles) pseudopunctipennis,25.647222,-100.094444,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.2605,-99.997967,50.0,1989
Anopheles (Anopheles) pseudopunctipennis,25.30785,-100.049683,50.0,1993
Anopheles (Anopheles) pseudopunctipennis,25.2605,-99.997967,50.0,1988
Anopheles (Anopheles) pseudopunctipennis,24.075,-99.121944,60.0,1988
Anopheles (Anopheles) pseudopunctipennis,25.490472,-100.179306,50.0,1993
Anopheles (Anopheles) pseudopunctipennis,25.490472,-100.179306,50.0,1992
Anopheles (Anopheles) pseudopunctipennis,26.501111,-100.427222,50.0,1989
