verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Nyssorhynchus) albimanus,22.255278,-97.868611,70.0,1949
Anopheles (Nyssorhynchus) albimanus,18.395556,-93.212222,90.0,1946
Anopheles (Nyssorhynchus) albimanus,18.231667,-95.949444,90.0,1946
Anopheles (Nyssorhynchus) albimanus,20.168889,-96.849167,80.0,1947
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1959
Anopheles (Nyssorhynchus) albimanus,18.137778,-94.435278,90.0,1941
Anopheles (Nyssorhynchus) albimanus,23.236111,-106.415278,70.0,1940
Anopheles (Nyssorhynchus) albimanus,19.54,-96.9275,80.0,1957
Anopheles (Nyssorhynchus) albimanus,24.323611,-107.367778,50.0,1958
Anopheles (Nyssorhynchus) albimanus,17.829167,-93.391667,90.0,1946
Anopheles (Nyssorhynchus) albimanus,17.989444,-94.755,0.0,1958
Anopheles (Nyssorhynchus) albimanus,21.957778,-99.392222,70.0,1933
Anopheles (Nyssorhynchus) albimanus,17.6775,-94.724722,90.0,1960
Anopheles (Nyssorhynchus) albimanus,17.91,-94.092778,90.0,1952
Anopheles (Nyssorhynchus) albimanus,18.503611,-88.305278,80.0,1940
Anopheles (Nyssorhynchus) albimanus,18.304167,-95.841944,90.0,1946
Anopheles (Nyssorhynchus) albimanus,18.365,-95.795278,90.0,1946
Anopheles (Nyssorhynchus) albimanus,16.871111,-99.897778,100.0,1933
Anopheles (Nyssorhynchus) albimanus,16.752778,-93.116667,100.0,1940
Anopheles (Nyssorhynchus) albimanus,18.023889,-94.674167,90.0,1942
Anopheles (Nyssorhynchus) albimanus,21.920278,-99.391667,70.0,1948
Anopheles (Nyssorhynchus) albimanus,23.236111,-106.415278,70.0,1956
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1956
Anopheles (Nyssorhynchus) albimanus,23.723056,-106.780555,70.0,1941
Anopheles (Nyssorhynchus) albimanus,18.611667,-95.661111,90.0,1964
Anopheles (Nyssorhynchus) albimanus,20.967778,-89.621667,70.0,1956
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1958
Anopheles (Nyssorhynchus) albimanus,20.160556,-96.726667,80.0,1947
Anopheles (Nyssorhynchus) albimanus,17.548056,-92.952778,90.0,1946
Anopheles (Nyssorhynchus) albimanus,18.176389,-96.0325,90.0,1946
Anopheles (Nyssorhynchus) albimanus,24.764722,-107.701111,50.0,1941
Anopheles (Nyssorhynchus) albimanus,17.988889,-94.558611,90.0,1960
Anopheles (Nyssorhynchus) albimanus,21.261111,-98.791667,70.0,1941
Anopheles (Nyssorhynchus) albimanus,18.770278,-95.760555,90.0,1946
Anopheles (Nyssorhynchus) albimanus,20.958889,-97.403055,80.0,1946
Anopheles (Nyssorhynchus) albimanus,17.548056,-92.952778,90.0,1947
Anopheles (Nyssorhynchus) albimanus,18.0,-93.375555,90.0,1946
Anopheles (Nyssorhynchus) albimanus,17.555556,-92.333889,90.0,1946
Anopheles (Nyssorhynchus) albimanus,17.990556,-92.928055,90.0,1938
Anopheles (Nyssorhynchus) albimanus,18.611667,-95.661111,90.0,1946
Anopheles (Nyssorhynchus) albimanus,18.023889,-94.674167,90.0,1940
Anopheles (Nyssorhynchus) albimanus,21.957778,-99.392222,70.0,1948
Anopheles (Nyssorhynchus) albimanus,21.920278,-99.391667,70.0,1941
Anopheles (Nyssorhynchus) albimanus,21.981944,-99.009722,70.0,1948
Anopheles albimanus,17.43409,-95.03355,0.0,1911
Anopheles albimanus,20.61725,-105.25044,0.0,1965
Anopheles albimanus,22.80049,-98.70031,0.0,1965
Anopheles albimanus,22.21719,-97.85029,0.0,1965
