verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,20.98,-89.62,0.0,2008,25.77433,13.41835,64.5747,214.84976,36.22807,15.44849,20.77958,27.98562,23.19246,1007.65771,167.64059,23.80094,69.02136,475.60818,75.37756,12.0
Aedes aegypti,MX,20.86,-90.39,0.0,2007,26.02199,11.66745,63.11687,207.79665,35.01513,16.52966,18.48547,27.97544,23.61194,773.27228,145.5022,6.22538,84.80865,400.57449,34.95852,2.5
Aedes aegypti,MX,20.98,-89.62,0.0,2003,25.77433,13.41835,64.5747,214.84976,36.22807,15.44849,20.77958,27.98562,23.19246,1007.65771,167.64059,23.80094,69.02136,475.60818,75.37756,12.0
Aedes aegypti,MX,25.78,-103.27,0.0,1993,20.93837,16.73712,55.18281,531.99475,35.1017,4.77139,30.33031,26.75035,14.9548,209.00934,35.77514,2.41951,61.30028,93.88203,13.71785,1110.0
Aedes aegypti,MX,28.71,-100.52,0.0,1993,21.74141,13.62804,42.90965,688.04608,37.33939,5.57953,31.75986,29.82362,14.40936,518.08307,72.86407,18.92151,45.75319,190.89099,68.55163,223.5
Aedes aegypti,MX,20.94,-89.62,0.0,1990,25.76251,13.52735,64.65132,215.70418,36.32477,15.40123,20.92354,27.99631,23.16909,1019.25275,169.77609,24.0409,69.23034,480.4061,77.10971,13.0
Aedes aegypti,MX,25.87,-97.51,0.0,1995,22.53498,10.95654,42.02853,544.57532,34.76535,8.69607,26.06928,28.64673,16.89782,592.86969,78.42409,19.50792,40.95601,200.48566,82.12864,12.0
Aedes aegypti,MX,25.68,-100.29,0.0,1991,21.38704,13.48282,48.52711,537.53174,34.76819,6.98408,27.78411,27.54214,15.39169,587.242,151.97791,13.9608,79.41033,279.75949,47.91675,519.5
Aedes aegypti,MX,26.08,-98.29,0.0,1995,22.75673,12.2951,43.80045,588.50018,36.31527,8.24457,28.0707,29.33109,16.4463,536.93475,92.46614,13.2975,49.21867,197.94859,80.82637,48.0
Aedes aegypti,MX,27.88,-101.52,0.0,1993,20.99933,15.60083,47.99856,632.82654,36.60725,4.10455,32.5027,28.45859,14.4065,439.8461,70.39237,14.78418,57.19455,175.08484,45.69841,493.0
Aedes aegypti,MX,17.07,-96.72,0.0,1996,20.02791,16.23841,67.95385,199.9632,31.83093,7.9347,23.89623,22.09716,17.55608,674.9964,141.054,2.17156,91.27792,360.03131,19.51244,1571.0
Aedes aegypti,MX,25.68,-100.31,0.0,1996,21.27233,13.4673,48.77218,532.21161,34.56763,6.95496,27.61267,27.36295,15.33055,562.81482,148.2356,13.29047,80.84321,271.00613,44.97105,538.0
Aedes aegypti,MX,27.92,-110.9,0.0,1998,23.91354,16.02825,54.3347,564.23389,38.29137,8.79227,29.4991,30.80942,18.19638,305.27844,85.37175,0.65104,123.96983,236.9437,3.46519,20.0
Aedes aegypti,MX,29.2,-100.95,0.0,1998,20.36409,13.70321,41.91711,722.92474,36.59735,3.90615,32.6912,29.04915,12.66675,521.6626,79.53724,13.81011,48.98018,206.90329,65.60159,340.0
Aedes aegypti,MX,25.3,-100.04,0.0,1997,21.39784,13.83317,48.73026,538.99213,35.21254,6.8253,28.38724,27.5358,15.36917,839.80804,209.70599,20.71765,76.73342,375.42023,69.82629,467.0
Aedes aegypti,MX,14.9,-92.27,0.0,2006,26.83844,12.81501,74.61306,93.81665,35.00345,17.82816,17.17529,27.80287,25.82793,2635.5166,503.78519,6.78837,88.2612,1298.54004,56.02827,150.0
Aedes aegypti,MX,31.68,-106.48,0.0,2003,17.15137,15.21984,42.84701,776.72925,35.21674,-0.30461,35.52135,26.80166,8.99073,268.1958,52.42511,7.45409,63.83951,136.41605,28.76519,1209.0
Aedes aegypti,MX,31.33,-110.95,0.0,2002,17.472,16.38916,50.49864,636.90533,34.24899,1.79434,32.45465,25.43633,10.88859,501.70328,120.6243,6.14319,86.85372,287.40793,25.75077,1221.0
Aedes aegypti,MX,25.3,-100.04,0.0,1999,21.39784,13.83317,48.73026,538.99213,35.21254,6.8253,28.38724,27.5358,15.36917,839.80804,209.70599,20.71765,76.73342,375.42023,69.82629,467.0
Aedes aegypti,MX,31.33,-110.95,0.0,2002,17.472,16.38916,50.49864,636.90533,34.24899,1.79434,32.45465,25.43633,10.88859,501.70328,120.6243,6.14319,86.85372,287.40793,25.75077,1221.0
Aedes aegypti,MX,31.33,-110.93,0.0,2002,17.11948,16.4167,50.77206,628.84851,33.95092,1.61679,32.33413,24.97613,10.64567,510.23401,120.3598,6.31926,85.51106,289.52054,27.09738,1256.0
Aedes aegypti,MX,31.26,-110.94,0.0,2002,16.98275,16.62581,51.34834,622.44617,33.90828,1.52979,32.37849,24.76099,10.57425,529.8114,121.8637,6.26349,84.96067,299.60596,26.81446,1313.5
Aedes aegypti,MX,31.27,-110.97,0.0,2002,16.88537,16.59541,51.35148,621.05603,33.80725,1.48995,32.3173,24.65291,10.50104,529.18036,121.9734,6.21881,84.67705,298.72742,26.87679,1353.0
Aedes aegypti,MX,31.28,-110.96,0.0,2002,16.99441,16.56864,51.21235,623.88666,33.89457,1.54175,32.35282,24.79663,10.57284,525.83423,121.962,6.23098,85.09007,297.68903,26.68112,1302.5
Aedes aegypti,MX,31.29,-110.93,0.0,2002,17.11367,16.5421,51.06215,626.71521,33.99339,1.59738,32.396,24.94455,10.65403,521.24042,121.487,6.28077,85.50063,295.86661,26.70171,1254.5
Aedes aegypti,MX,31.26,-110.96,0.0,2002,16.82457,16.61991,51.45113,619.11011,33.76257,1.46026,32.30231,24.56513,10.46395,531.41034,121.8651,6.22581,84.44244,299.46942,27.07481,1350.5
