verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Nyssorhynchus) albimanus,17.656944,-101.593055,100.0,1975
Anopheles (Nyssorhynchus) albimanus,17.656944,-101.593055,100.0,1976
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1979
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1981
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1977
Anopheles (Nyssorhynchus) albimanus,23.061389,-109.708055,80.0,1979
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1971
Anopheles (Nyssorhynchus) albimanus,17.656944,-101.593055,100.0,1974
Anopheles (Nyssorhynchus) albimanus,17.656944,-101.593055,100.0,1979
Anopheles (Nyssorhynchus) albimanus,17.644444,-101.551111,100.0,1973
Anopheles (Nyssorhynchus) albimanus,21.161111,-86.833611,70.0,1973
Anopheles (Nyssorhynchus) albimanus,23.061389,-109.708055,80.0,1983
Anopheles albimanus,23.05045,-109.68387,0.0,1979
Anopheles albimanus,17.66741,-100.00032,0.0,1979
Anopheles albimanus,21.08392,-86.76671,0.0,1975
Anopheles albimanus,16.85078,-99.91699,0.0,1975
Anopheles albimanus,17.48409,-91.43348,0.0,1970
