verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Nyssorhynchus) albimanus,21.482778,-87.700555,70.0,1995
Anopheles (Nyssorhynchus) albimanus,20.977222,-90.355,70.0,1995
Anopheles (Nyssorhynchus) albimanus,20.858333,-90.383333,70.0,1996
Anopheles (Nyssorhynchus) albimanus,21.509722,-87.678611,70.0,1995
Anopheles (Nyssorhynchus) albimanus,21.58,-88.162778,70.0,1996
Anopheles (Nyssorhynchus) albimanus,21.519167,-87.692778,70.0,1995
Anopheles (Nyssorhynchus) albimanus,21.482778,-87.700555,70.0,1996
Anopheles (Nyssorhynchus) albimanus,21.58,-88.162778,70.0,1995
Anopheles (Nyssorhynchus) albimanus,19.406667,-99.191111,80.0,1987
Anopheles (Nyssorhynchus) albimanus,18.551944,-88.465278,80.0,1992
Anopheles (Nyssorhynchus) albimanus,19.143056,-88.169167,80.0,1992
Anopheles (Nyssorhynchus) albimanus,19.243056,-103.730556,90.0,1996
Anopheles (Nyssorhynchus) albimanus,16.350833,-94.4825,100.0,1996
Anopheles (Nyssorhynchus) albimanus,25.9625,-100.291667,50.0,1989
Anopheles (Nyssorhynchus) albimanus,18.856944,-103.962222,90.0,1996
Anopheles (Nyssorhynchus) albimanus,24.075,-99.121944,60.0,1988
