verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
"Anopheles albimanus Wiedemann, 1820",14.9,-92.26611,0.0,1941,26.77715,12.81737,74.58828,93.53146,34.95547,17.77131,17.18416,27.74342,25.77108,2662.97754,507.88071,6.96241,88.06167,1310.6272,57.77756,155.5
Anopheles (Nyssorhynchus) albimanus,17.470833,-91.426389,90.0,1941,26.59944,10.97046,57.99152,225.21289,36.70871,17.79135,18.91736,28.82768,23.87278,2090.4834,370.3028,69.6257,53.05319,810.3233,226.67499,23.0
Anopheles (Nyssorhynchus) albimanus,21.284444,-89.663333,70.0,1942,25.48313,11.57532,61.73912,210.86617,34.66306,15.91429,18.74877,27.58257,22.99266,749.37933,134.57001,23.60198,62.02632,296.02051,72.97434,1.5
Anopheles (Nyssorhynchus) albimanus,18.0,-93.375555,90.0,1957,26.20311,11.40389,59.48661,235.13783,36.16766,16.99714,19.17052,28.57222,23.26921,2002.21814,338.6897,42.19714,58.67016,784.16156,161.08871,28.0
Anopheles (Nyssorhynchus) albimanus,17.91,-94.092778,90.0,1947,25.67585,9.90511,56.99024,224.47523,34.80575,17.42539,17.38036,27.94236,22.97908,2325.57544,409.18399,36.73094,59.43473,910.08612,183.55035,18.5
Anopheles (Nyssorhynchus) albimanus,17.990556,-92.928055,90.0,1942,26.33479,11.00872,59.93321,231.35344,35.59879,17.23047,18.36832,28.63582,23.54048,2146.19727,353.18188,42.77826,55.68017,802.28345,200.86447,21.5
Anopheles (Nyssorhynchus) albimanus,21.284444,-89.663333,70.0,1942,25.48313,11.57532,61.73912,210.86617,34.66306,15.91429,18.74877,27.58257,22.99266,749.37933,134.57001,23.60198,62.02632,296.02051,72.97434,1.5
Anopheles (Nyssorhynchus) albimanus,19.842222,-90.531667,80.0,1941,26.0403,13.39272,64.69594,216.79152,36.43085,15.72983,20.70102,28.26377,23.43841,1198.67029,224.1179,16.92669,83.31728,627.21313,56.28289,3.5
Anopheles (Nyssorhynchus) albimanus,22.255278,-97.868611,70.0,1941,24.04219,9.25356,48.09765,371.60907,32.78974,13.55064,19.2391,27.89321,19.8869,1077.83496,296.5567,12.4643,93.14784,581.45367,59.70851,26.0
Anopheles (Nyssorhynchus) albimanus,22.255278,-97.868611,70.0,1940,24.04219,9.25356,48.09765,371.60907,32.78974,13.55064,19.2391,27.89321,19.8869,1077.83496,296.5567,12.4643,93.14784,581.45367,59.70851,26.0
Anopheles (Nyssorhynchus) albimanus,18.449722,-95.212222,90.0,1941,23.69757,9.10516,51.04906,248.85214,32.97604,15.13995,17.83609,26.33818,20.77709,1852.11243,366.1283,17.61494,80.59586,961.90576,72.82541,295.5
Anopheles (Nyssorhynchus) albimanus,20.958889,-97.403055,80.0,1942,23.8361,9.0788,50.27926,343.23633,32.24559,14.18885,18.05674,27.35672,20.01466,1351.12854,254.1886,27.39332,69.18859,627.08203,116.17507,19.5
Anopheles (Nyssorhynchus) albimanus,17.91,-94.092778,90.0,1956,25.67585,9.90511,56.99024,224.47523,34.80575,17.42539,17.38036,27.94236,22.97908,2325.57544,409.18399,36.73094,59.43473,910.08612,183.55035,18.5
Anopheles (Nyssorhynchus) albimanus,18.365,-95.795278,90.0,1948,25.38215,9.4407,49.85556,270.2193,35.02053,16.08443,18.9361,28.14581,22.19447,1552.44409,372.26709,14.49345,93.91373,914.48682,50.54638,9.5
Anopheles (Nyssorhynchus) albimanus,22.255278,-97.868611,70.0,1940,24.04219,9.25356,48.09765,371.60907,32.78974,13.55064,19.2391,27.89321,19.8869,1077.83496,296.5567,12.4643,93.14784,581.45367,59.70851,26.0
