verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Aedes aegypti,MX,14.91,-92.24,0.0,1998
Aedes aegypti,MX,20.97,-89.67,0.0,1999
Aedes aegypti,MX,26.38,-99.0,0.0,1998
Aedes aegypti,MX,17.01,-100.09,0.0,1999
Aedes aegypti,MX,24.8,-107.4,0.0,1998
Aedes aegypti,MX,25.68,-100.37,0.0,1996
Aedes aegypti,MX,25.47,-100.17,0.0,1996
Aedes aegypti,MX,25.87,-97.51,0.0,1996
Aedes aegypti,MX,17.97,-94.37,0.0,1998
Aedes aegypti,MX,21.13,-86.81,0.0,1999
Aedes aegypti,MX,20.99,-89.58,0.0,1999
Aedes aegypti,MX,14.91,-92.24,0.0,1999
Aedes aegypti,MX,17.99,-92.93,0.0,1998
Aedes aegypti,MX,22.22,-97.86,0.0,1996
Aedes aegypti,MX,14.7,-92.25,0.0,1996
Aedes aegypti,MX,16.38,-94.21,0.0,1996
Aedes aegypti,MX,19.85,-90.53,0.0,1998
Aedes aegypti,MX,16.62,-98.63,0.0,1996
Aedes aegypti,MX,15.68,-93.22,0.0,1996
Aedes aegypti,MX,14.9,-92.27,0.0,1996
Aedes aegypti,MX,16.33,-98.03,0.0,1996
Aedes aegypti,MX,16.47,-94.36,0.0,1996
Aedes aegypti,MX,15.86,-97.06,0.0,1996
Aedes aegypti,MX,15.14,-92.47,0.0,1996
Aedes aegypti,MX,15.75,-96.46,0.0,1996
Aedes aegypti,MX,18.36,-99.54,0.0,1996
Aedes aegypti,MX,14.97,-92.15,0.0,1996
Aedes aegypti,MX,14.73,-92.42,0.0,1996
Aedes aegypti,MX,15.18,-92.88,0.0,1996
Aedes aegypti,MX,14.62,-92.18,0.0,1996
Aedes aegypti,MX,16.85,-99.91,0.0,1996
Aedes aegypti,MX,16.09,-93.75,0.0,1996
Aedes aegypti,MX,17.55,-99.5,0.0,1996
Aedes aegypti,MX,20.06,-97.04,0.0,1998
Aedes aegypti,MX,18.37,-95.81,0.0,1999
Aedes aegypti,MX,18.89,-96.92,0.0,1999
Aedes aegypti,MX,20.96,-97.41,0.0,1998
Aedes aegypti,MX,19.53,-96.91,0.0,1998
Aedes aegypti,MX,22.05,-98.18,0.0,1999
Aedes aegypti,MX,19.19,-96.14,0.0,1999
Aedes aegypti,MX,18.15,-94.41,0.0,1998
Aedes aegypti,MX,20.55,-97.47,0.0,1999
Aedes aegypti,MX,19.19,-96.14,0.0,1998
Aedes aegypti,MX,20.96,-97.41,0.0,1999
Aedes aegypti,MX,18.45,-95.22,0.0,1999
Aedes aegypti,MX,19.53,-96.91,0.0,1999
Aedes aegypti,MX,20.55,-97.47,0.0,1998
Aedes aegypti,MX,18.15,-94.41,0.0,1999
Aedes aegypti,MX,18.37,-95.81,0.0,1998
Aedes aegypti,MX,20.06,-97.04,0.0,1999
Aedes aegypti,MX,18.45,-95.22,0.0,1998
Aedes aegypti,MX,19.24,-103.73,0.0,1999
Aedes aegypti,MX,15.13,-92.47,0.0,1994
Aedes aegypti,MX,21.15,-86.88,0.0,1999
Aedes aegypti,MX,21.14,-86.88,0.0,1999
Aedes aegypti,MX,19.83,-90.53,0.0,1998
Aedes aegypti,MX,18.65,-91.83,0.0,1998
Aedes aegypti,MX,25.87,-97.5,0.0,1996
Aedes aegypti,MX,26.39,-99.06,0.0,1998
Aedes aegypti,MX,17.99,-94.35,0.0,1998
Aedes aegypti,MX,18.0,-92.9,0.0,1998
Aedes aegypti,MX,23.67,-99.25,0.0,1996
Aedes aegypti,MX,17.98,-94.54,0.0,1996
Aedes aegypti,MX,22.29,-97.88,0.0,1996
Aedes aegypti,MX,20.97,-89.68,0.0,1999
Aedes aegypti,MX,20.92,-89.63,0.0,1999
Aedes aegypti,MX,17.96,-102.19,0.0,1999
Aedes aegypti,MX,17.99,-94.35,0.0,1999
Aedes aegypti,MX,14.85,-92.32,0.0,1998
Aedes aegypti,MX,24.81,-107.38,0.0,1998
Aedes aegypti,MX,23.25,-106.41,0.0,1999
Aedes aegypti,MX,17.67,-101.6,0.0,1999
Aedes aegypti,MX,20.97,-89.58,0.0,1999
Aedes aegypti,MX,21.16,-86.85,0.0,1999
Aedes aegypti,MX,20.97,-89.63,0.0,1999
Aedes aegypti,MX,15.87,-97.08,0.0,1999
Aedes aegypti,MX,18.54,-88.3,0.0,1999
Aedes aegypti,MX,20.65,-105.23,0.0,1999
Aedes aegypti,MX,25.69,-100.32,0.0,1996
Aedes aegypti,MX,27.48,-99.55,0.0,1997
Aedes aegypti,MX,17.99,-92.95,0.0,1999
Aedes aegypti,MX,26.4,-99.03,0.0,1998
Aedes aegypti,MX,17.99,-92.95,0.0,1998
