verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Aedes aegypti,MX,18.5,-99.56,0.0,1988
Aedes aegypti,MX,25.88,-97.5,0.0,1996
Aedes aegypti,MX,22.21,-97.85,0.0,1996
Aedes aegypti,MX,26.08,-98.28,0.0,1996
Aedes aegypti,MX,25.81,-98.37,0.0,1995
Aedes aegypti,MX,26.08,-98.28,0.0,1995
Aedes aegypti,MX,26.08,-98.29,0.0,1996
Aedes aegypti,MX,24.93,-98.64,0.0,1995
Aedes aegypti,MX,25.78,-103.27,0.0,1993
Aedes aegypti,MX,28.71,-100.52,0.0,1993
Aedes aegypti,MX,20.94,-89.62,0.0,1990
Aedes aegypti,MX,25.87,-97.51,0.0,1995
Aedes aegypti,MX,25.68,-100.29,0.0,1991
Aedes aegypti,MX,26.08,-98.29,0.0,1995
Aedes aegypti,MX,27.88,-101.52,0.0,1993
Aedes aegypti,MX,17.07,-96.72,0.0,1996
Aedes aegypti,MX,25.68,-100.31,0.0,1996
Aedes aegypti,MX,27.92,-110.9,0.0,1998
Aedes aegypti,MX,29.2,-100.95,0.0,1998
Aedes aegypti,MX,25.3,-100.04,0.0,1997
Aedes aegypti,MX,25.3,-100.04,0.0,1999
Aedes aegypti,MX,25.82,-100.02,0.0,1997
Aedes aegypti,MX,15.14,-92.47,0.0,1994
Aedes aegypti,MX,20.98,-89.62,0.0,1990
Aedes aegypti,MX,26.01,-98.29,0.0,1995
Aedes aegypti,MX,14.9,-92.27,0.0,1998
Aedes aegypti,MX,15.87,-97.07,0.0,1999
Aedes aegypti,MX,27.48,-99.51,0.0,1997
Aedes aegypti,MX,25.5,-100.08,0.0,1996
Aedes aegypti,MX,20.96,-97.41,0.0,1996
Aedes aegypti,MX,23.74,-99.14,0.0,1996
Aedes aegypti,MX,20.98,-89.66,0.0,1999
Aedes aegypti,MX,20.99,-89.62,0.0,1999
Aedes aegypti,MX,17.98,-94.55,0.0,1996
Aedes aegypti,MX,26.09,-98.29,0.0,1997
Aedes aegypti,MX,18.5,-88.3,0.0,1999
Aedes aegypti,MX,17.95,-102.21,0.0,1999
Aedes aegypti,MX,17.65,-101.53,0.0,1999
Aedes aegypti,MX,21.01,-89.63,0.0,1999
Aedes aegypti,MX,18.65,-91.82,0.0,1998
Aedes aegypti,MX,25.67,-100.3,0.0,1996
Aedes aegypti,MX,18.51,-88.3,0.0,1999
Aedes aegypti,MX,14.9,-92.27,0.0,1999
Aedes aegypti,MX,20.95,-89.64,0.0,1999
