verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Aedes aegypti,MX,21.01,-89.63,0.0,2007
Aedes aegypti,MX,21.03,-89.56,0.0,2009
Aedes aegypti,MX,14.68,-92.15,0.0,2008
Aedes aegypti,MX,20.97,-89.63,0.0,2009
Aedes aegypti,MX,15.69,-93.21,0.0,2008
Aedes aegypti,MX,14.72,-92.43,0.0,2008
Aedes aegypti,MX,18.53,-88.3,0.0,2008
Aedes aegypti,MX,14.85,-92.32,0.0,2006
Aedes aegypti,MX,25.29,-100.01,0.0,2009
Aedes aegypti,MX,14.72,-92.43,0.0,2006
Aedes aegypti,MX,21.35,-98.23,0.0,2008
Aedes aegypti,MX,18.5,-88.3,0.0,2008
Aedes aegypti,MX,20.92,-89.63,0.0,2007
Aedes aegypti,MX,15.43,-92.9,0.0,2008
Aedes aegypti,MX,20.53,-97.46,0.0,2008
Aedes aegypti,MX,15.43,-92.9,0.0,2006
Aedes aegypti,MX,15.02,-92.38,0.0,2008
Aedes aegypti,MX,15.32,-92.66,0.0,2008
Aedes aegypti,MX,15.69,-93.21,0.0,2006
Aedes aegypti,MX,18.55,-88.26,0.0,2007
Aedes aegypti,MX,20.06,-97.05,0.0,2008
Aedes aegypti,MX,14.85,-92.32,0.0,2008
Aedes aegypti,MX,15.14,-92.47,0.0,2006
Aedes aegypti,MX,15.37,-92.25,0.0,2006
Aedes aegypti,MX,18.54,-88.3,0.0,2007
Aedes aegypti,MX,14.68,-92.15,0.0,2006
Aedes aegypti,MX,14.86,-92.45,0.0,2006
Aedes aegypti,MX,15.14,-92.47,0.0,2008
Aedes aegypti,MX,25.58,-108.46,0.0,2008
Aedes aegypti,MX,18.52,-88.34,0.0,2007
Aedes aegypti,MX,15.32,-92.66,0.0,2006
Aedes aegypti,MX,25.56,-108.47,0.0,2008
Aedes aegypti,MX,25.55,-108.46,0.0,2008
Aedes aegypti,MX,29.07,-110.96,0.0,2000
Aedes aegypti,MX,19.17,-96.13,0.0,2008
Aedes aegypti,MX,25.58,-108.47,0.0,2008
Aedes aegypti,MX,25.59,-108.46,0.0,2008
Aedes aegypti,MX,25.58,-108.47,0.0,2009
Aedes aegypti,MX,25.58,-108.46,0.0,2009
Aedes aegypti,MX,25.57,-108.47,0.0,2008
Aedes aegypti,MX,15.02,-92.38,0.0,2006
Aedes aegypti,MX,25.55,-108.46,0.0,2009
Aedes aegypti,MX,22.05,-98.18,0.0,2009
Aedes aegypti,MX,20.06,-97.05,0.0,2009
Aedes aegypti,MX,18.0,-94.63,0.0,2009
Aedes aegypti,MX,20.53,-97.45,0.0,2009
Aedes aegypti,MX,21.35,-98.23,0.0,2009
Aedes aegypti,MX,18.14,-94.44,0.0,2009
Aedes aegypti,MX,19.17,-96.13,0.0,2009
Aedes aegypti,MX,14.82,-92.2,0.0,2007
Aedes aegypti,MX,31.74,-106.44,0.0,2005
Aedes aegypti,MX,15.87,-97.08,0.0,2002
Aedes aegypti,MX,17.07,-96.73,0.0,2002
Aedes aegypti,MX,16.47,-94.35,0.0,2002
Aedes aegypti,MX,16.37,-94.2,0.0,2002
Aedes aegypti,MX,17.06,-96.73,0.0,2002
Aedes aegypti,MX,15.75,-96.47,0.0,2002
Aedes aegypti,MX,17.06,-96.72,0.0,2002
Aedes aegypti,MX,16.4,-94.95,0.0,2002
Aedes aegypti,MX,17.05,-96.72,0.0,2002
Aedes aegypti,MX,17.56,-99.5,0.0,2010
Aedes aegypti,MX,18.34,-99.53,0.0,2010
Aedes aegypti,MX,17.64,-101.55,0.0,2010
Aedes aegypti,MX,17.54,-98.58,0.0,2010
Aedes aegypti,MX,16.89,-99.85,0.0,2010
Aedes aegypti,MX,14.94,-92.17,0.0,2008
Aedes aegypti,MX,17.22,-100.63,0.0,2010
Aedes aegypti,MX,20.31,-89.43,0.0,2010
Aedes aegypti,MX,20.2,-89.28,0.0,2010
Aedes aegypti,MX,20.95,-97.39,0.0,2009
Aedes aegypti,MX,21.09,-89.29,0.0,2010
Aedes aegypti,MX,20.97,-97.33,0.0,2009
Aedes aegypti,MX,20.77,-88.39,0.0,2010
Aedes aegypti,MX,20.87,-88.99,0.0,2011
Aedes aegypti,MX,20.94,-89.56,0.0,2010
Aedes aegypti,MX,21.34,-89.26,0.0,2011
Aedes aegypti,MX,20.95,-97.46,0.0,2009
Aedes aegypti,MX,20.69,-88.22,0.0,2010
Aedes aegypti,MX,21.0,-89.7,0.0,2010
Aedes aegypti,MX,20.59,-90.0,0.0,2010
Aedes aegypti,MX,20.83,-89.19,0.0,2011
Aedes aegypti,MX,20.97,-97.4,0.0,2009
Aedes aegypti,MX,21.05,-89.04,0.0,2011
Aedes aegypti,MX,20.73,-89.17,0.0,2011
Aedes aegypti,MX,20.12,-88.93,0.0,2010
Aedes aegypti,MX,20.88,-89.75,0.0,2011
Aedes aegypti,MX,20.87,-89.21,0.0,2011
Aedes aegypti,MX,20.46,-89.22,0.0,2011
Aedes aegypti,MX,20.4,-89.55,0.0,2010
Aedes aegypti,MX,21.05,-89.07,0.0,2011
Aedes aegypti,MX,21.02,-89.88,0.0,2010
Aedes aegypti,MX,20.47,-89.08,0.0,2011
Aedes aegypti,MX,20.97,-89.62,0.0,2011
Aedes aegypti,MX,21.15,-88.15,0.0,2010
Aedes aegypti,MX,20.77,-89.21,0.0,2011
Aedes aegypti,MX,20.66,-87.94,0.0,2010
Aedes aegypti,MX,21.28,-89.68,0.0,2010
Aedes aegypti,MX,14.88,-92.23,0.0,2006
Aedes aegypti,MX,14.87,-92.43,0.0,2006
Aedes aegypti,MX,21.15,-86.89,0.0,2011
Aedes aegypti,MX,14.84,-92.19,0.0,2007
