verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,27.878611,-101.446944,50.0,1971
Anopheles (Anopheles) pseudopunctipennis,23.061389,-109.708055,80.0,1979
Anopheles (Anopheles) pseudopunctipennis,17.644444,-101.551111,100.0,1973
Anopheles (Anopheles) pseudopunctipennis,17.656944,-101.593055,100.0,1974
Anopheles (Anopheles) pseudopunctipennis,18.836389,-99.224444,90.0,1976
Anopheles (Anopheles) pseudopunctipennis,25.671111,-100.308333,50.0,1983
Anopheles (Anopheles) pseudopunctipennis,27.8775,-101.514444,50.0,1973
Anopheles (Anopheles) pseudopunctipennis,18.081111,-97.918611,90.0,1975
Anopheles (Anopheles) pseudopunctipennis,17.656944,-101.593055,100.0,1975
Anopheles (Anopheles) pseudopunctipennis,21.161111,-86.833611,70.0,1975
Anopheles (Anopheles) pseudopunctipennis,18.854444,-99.227222,90.0,1976
Anopheles (Anopheles) pseudopunctipennis,25.940556,-97.692778,50.0,1971
Anopheles (Anopheles) pseudopunctipennis,27.878611,-101.446944,50.0,1970
Anopheles (Anopheles) pseudopunctipennis,22.246667,-100.177222,70.0,1971
Anopheles (Anopheles) pseudopunctipennis,29.070556,-100.673055,50.0,1973
Anopheles (Anopheles) pseudopunctipennis,27.225,-109.258889,60.0,1972
Anopheles (Anopheles) pseudopunctipennis,21.7975,-100.736111,70.0,1974
Anopheles (Anopheles) pseudopunctipennis,21.190278,-86.805833,70.0,1973
Anopheles pseudopunctipennis,25.93365,-111.36725,0.0,1980
Anopheles pseudopunctipennis,25.93365,-111.36725,0.0,1979
Anopheles (Anopheles) pseudopunctipennis,25.791944,-100.280333,50.0,1982
Anopheles (Anopheles) pseudopunctipennis,25.785133,-100.2921,50.0,1981
