verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles pseudopunctipennis,23.29926,-106.44174,90.0,2023
Anopheles pseudopunctipennis,25.398521,-100.135168,31.0,2021
Anopheles pseudopunctipennis,28.263309,-105.493886,2.0,2022
Anopheles pseudopunctipennis,15.39,-92.17,0.0,2018
Anopheles pseudopunctipennis,18.81,-99.56,0.0,2017
Anopheles pseudopunctipennis,18.744478,-98.909561,31.0,2021
Anopheles pseudopunctipennis,16.309,-91.2111,0.0,2016
Anopheles pseudopunctipennis,18.8092,-99.5572,0.0,2017
Anopheles (Anopheles) pseudopunctipennis,21.573833,-88.159778,0.0,2016
Anopheles (Anopheles) pseudopunctipennis,21.593694,-88.145389,0.0,2016
