verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles pseudopunctipennis,23.29926,-106.44174,90.0,2023,24.73843,13.10227,55.97488,400.95154,34.73089,11.32348,23.40741,29.10356,20.26808,692.68689,191.0314,0.60938,115.87868,492.4632,5.51289,14.5
Anopheles pseudopunctipennis,25.398521,-100.135168,31.0,2021,21.26579,13.68652,48.82235,531.64233,34.83392,6.80062,28.0333,27.3346,15.34994,838.94537,212.9856,19.97252,80.2556,390.14581,63.09786,494.0
Anopheles pseudopunctipennis,28.263309,-105.493886,2.0,2022,19.05893,17.10234,51.23749,613.40729,35.26194,1.88336,33.37858,26.37103,12.50175,316.25082,68.26514,4.06922,86.55907,189.84727,20.45868,1149.0
Anopheles pseudopunctipennis,15.39,-92.17,0.0,2018,21.13297,12.46376,74.11469,100.91117,29.34062,12.52377,16.81685,22.15265,19.86271,2923.79492,539.02478,22.40551,82.28024,1357.95874,123.10324,1290.5
Anopheles pseudopunctipennis,15.39,-92.17,0.0,2018,21.13297,12.46376,74.11469,100.91117,29.34062,12.52377,16.81685,22.15265,19.86271,2923.79492,539.02478,22.40551,82.28024,1357.95874,123.10324,1290.5
Anopheles pseudopunctipennis,15.39,-92.17,0.0,2018,21.13297,12.46376,74.11469,100.91117,29.34062,12.52377,16.81685,22.15265,19.86271,2923.79492,539.02478,22.40551,82.28024,1357.95874,123.10324,1290.5
Anopheles pseudopunctipennis,15.39,-92.17,0.0,2018,21.13297,12.46376,74.11469,100.91117,29.34062,12.52377,16.81685,22.15265,19.86271,2923.79492,539.02478,22.40551,82.28024,1357.95874,123.10324,1290.5
Anopheles pseudopunctipennis,18.81,-99.56,0.0,2017,17.77855,14.11627,69.17327,157.90102,28.39342,7.9863,20.40712,19.60254,15.99146,1087.4812,229.10291,6.19893,105.53452,655.38763,21.51526,1900.5
Anopheles pseudopunctipennis,18.81,-99.56,0.0,2017,17.77855,14.11627,69.17327,157.90102,28.39342,7.9863,20.40712,19.60254,15.99146,1087.4812,229.10291,6.19893,105.53452,655.38763,21.51526,1900.5
Anopheles pseudopunctipennis,18.81,-99.56,0.0,2017,17.77855,14.11627,69.17327,157.90102,28.39342,7.9863,20.40712,19.60254,15.99146,1087.4812,229.10291,6.19893,105.53452,655.38763,21.51526,1900.5
Anopheles pseudopunctipennis,18.744478,-98.909561,31.0,2021,21.63758,14.96839,67.52637,190.27266,32.86275,10.69602,22.16673,23.84985,19.43704,836.76849,179.4682,3.86081,107.63388,507.63229,12.56124,1294.0
Anopheles pseudopunctipennis,16.309,-91.2111,0.0,2016,24.89264,10.86461,59.28785,199.2124,34.40886,16.08367,18.32519,26.81446,22.46666,2847.9502,537.42682,54.51351,76.68203,1426.55847,197.16136,230.0
Anopheles pseudopunctipennis,18.8092,-99.5572,0.0,2017,17.37295,14.06143,69.45949,154.53876,27.88884,7.64477,20.24407,19.14346,15.61355,1108.46838,231.71111,6.61644,105.10009,667.43799,22.68193,1943.5
Anopheles (Anopheles) pseudopunctipennis,21.573833,-88.159778,0.0,2016,25.05088,12.1076,66.54501,183.13237,33.49493,15.30033,18.1946,26.76068,22.8972,752.83179,119.6789,28.61599,43.6921,279.20111,100.90446,5.0
