verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Anopheles) pseudopunctipennis,25.998611,-108.343055,60.0,1990,24.39826,17.43019,60.30479,445.94278,37.72114,8.81766,28.90349,29.53356,19.56847,730.74792,218.7301,1.43981,123.68057,549.51709,12.39715,105.0
Anopheles (Anopheles) pseudopunctipennis,16.518889,-90.650555,100.0,1990,24.79758,11.39164,59.64727,213.79858,34.73128,15.63294,19.09834,26.87456,22.17352,2607.88159,472.01682,50.87394,69.62755,1269.28992,187.27271,129.5
Anopheles (Anopheles) pseudopunctipennis,15.075556,-92.225555,100.0,1990,24.11339,12.62055,77.58488,83.68952,31.87961,15.61284,16.26677,24.9035,23.17772,3642.36426,676.16577,16.7561,84.91205,1775.83484,131.1098,682.0
Anopheles (Anopheles) pseudopunctipennis,25.998611,-108.343055,60.0,1990,24.39826,17.43019,60.30479,445.94278,37.72114,8.81766,28.90349,29.53356,19.56847,730.74792,218.7301,1.43981,123.68057,549.51709,12.39715,105.0
Anopheles (Anopheles) pseudopunctipennis,25.599167,-107.745555,50.0,1990,23.91831,16.52662,59.76788,435.68832,36.57552,8.92418,27.65134,28.92486,19.32887,835.61884,232.856,2.96016,119.09164,608.013,13.96191,227.0
Anopheles (Anopheles) pseudopunctipennis,15.075,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,639.5
Anopheles (Anopheles) pseudopunctipennis,15.081389,-92.316944,100.0,1990,26.29857,12.91622,73.7578,94.11402,34.72412,17.21245,17.51167,27.31051,25.25189,3223.53223,620.64429,9.87966,87.87015,1602.10132,80.90418,339.0
Anopheles (Anopheles) pseudopunctipennis,25.975,-100.408333,50.0,1990,20.63889,13.43588,49.23566,527.26904,33.59624,6.30731,27.28893,26.61559,14.75458,405.28555,103.6301,10.52506,78.03698,206.33644,31.87794,614.0
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,682.0
Anopheles (Anopheles) pseudopunctipennis,16.097222,-90.970833,100.0,1990,24.93257,9.86636,57.6512,196.1604,33.7561,16.64221,17.11389,26.83168,22.53796,3387.8374,687.65082,53.10445,82.41035,1843.76807,202.34906,158.5
Anopheles (Anopheles) pseudopunctipennis,16.335,-90.764167,100.0,1990,24.92851,10.76565,58.73561,208.20856,34.47678,16.14779,18.32899,26.96737,22.38198,2952.82324,563.4707,54.84028,75.06437,1514.57837,196.39294,128.0
