gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4168709026,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,a72cb0d0f07156094ebaa533c2053dad,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,San Vicente Palapa,Guerrero,PRESENT,2,ff90b050-c256-11db-b71b-b8a03c50a862,18.325,-99.415278,90,,433.5,433.5,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN273,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; RAMV,,,2024-01-24T19:30:32.315Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709025,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,d2898a98322df361a3d0843d08d824e2,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Poliutla,Guerrero,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.266944,-100.393333,90,,163,163,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN269,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; RAMV,,,2024-01-24T19:30:32.849Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709024,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,03514fd3eb0c629e8eb13eda4c164876,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Presa Topula,Guerrero,PRESENT,10,ff90b050-c256-11db-b71b-b8a03c50a862,18.303056,-99.274167,90,,506,506,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN265,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; RAMV,,,2024-01-24T19:30:32.739Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709023,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,a786c3264f05d29a4ea35105cdc82caa,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,San Miguel de los Orrantia,Sinaloa,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,25.998611,-108.343055,60,,50,50,0,0,1990-01-01/2003-12-31,,,,1650450,1650450,MATERIAL_CITATION,CRISP-INSP,CRISP-INSP,CIP-AN424,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; AOB; DGLC; JAAM; MMR; JLAR,,,2024-01-24T19:30:32.179Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE
4168709021,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,156adf40010e01e243df636ea390a563,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Magdalena Tequisistlan,Oaxaca,PRESENT,7,ff90b050-c256-11db-b71b-b8a03c50a862,16.414083,-95.597222,100,,111,111,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN76,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; AZA,,,2024-01-24T19:30:31.846Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709007,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,6335e15c31109a1dce3af30298e88de5,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Benemérito de las Américas,Chiapas,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,16.518889,-90.650555,100,,75,75,0,0,1990-01-01/2003-12-31,,,,1650450,1650450,MATERIAL_CITATION,CRISP-INSP,CRISP-INSP,CIP-AN510,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; AOB; DGLC; JAAM; MMR; JLAR,,,2024-01-24T19:30:32.068Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE
4168709002,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,89828ae260241934cf47743b3d037ded,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,San Miguel Ejutla,Oaxaca,PRESENT,6,ff90b050-c256-11db-b71b-b8a03c50a862,16.578694,-96.736055,100,,729,729,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN224,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MMR; RAMV; JLAR,,,2024-01-24T19:30:32.353Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709000,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,d741c53b07b93691eaf05279f60143bb,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Plan las Palmas,Chiapas,PRESENT,6,ff90b050-c256-11db-b71b-b8a03c50a862,15.050278,-92.226944,110,,250,250,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN332,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),JGBC,,,2024-01-24T19:30:31.782Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168708996,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,4cc897d5bb944d642f4b776a0edc1bc4,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Junta Potrero,Oaxaca,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,15.90475,-96.895222,100,,0,0,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN222,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MMR; RAMV; JLAR,,,2024-01-24T19:30:32.221Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168708987,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,85224398263cd789ab1b0d42ecc6f1f6,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Magdalena Tequisistlan,Oaxaca,PRESENT,4,ff90b050-c256-11db-b71b-b8a03c50a862,16.414167,-95.5975,100,,95,95,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN251,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; RAMV,,,2024-01-24T19:30:32.603Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168708986,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,173300d827ada44232d9bdeb4ad30bc6,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,El Retiro,Chiapas,PRESENT,10,ff90b050-c256-11db-b71b-b8a03c50a862,15.076111,-92.225,100,,330,330,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN331,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),JGBC,,,2024-01-24T19:30:32.476Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
